,exp_id,oob_avg_score,oob_std_score,oob_median_score,oob_score_ci,test_loss,trainig_loss,test_loss_var,trainig_loss_var,model_params,params
0,0,0.7818803597058119,0.035543182441129195,0.7665816326530611,"(0.7510504201680672, 0.8480392156862745)","{0: 0.20999999999999996, 1: 0.39, 2: 0.41000000000000003, 3: 0.38}","{0: 0.0, 1: 0.34343434343434354, 2: 0.4049999999999999, 3: 0.36}","{0: 0.001305039566847152, 1: 0.0016448979591836726, 2: 0.00018400666389004668, 3: 0.006096830024526806}","{0: 0.0, 1: 0.0017919350633155363, 2: 0.003432507453887925, 3: 0.0002117607046899975}","{'clf__C': 2904.6610181242827, 'clf__gamma': 0.5391263464279801, 'clf__random_state': 503, 'clf__shrinking': 1, 'clf__tol': 0.008744732545915634, 'selector__bootstrap': 1, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 0, 'selector__min_samples_leaf': 0, 'selector__n_estimators': 93.0, 'selector__random_state': 236}","{0: {'clf__C': 2904.6610181242827, 'clf__cache_size': 500, 'clf__class_weight': 'balanced', 'clf__coef0': 0.0, 'clf__gamma': 0.017970878214266003, 'clf__kernel': 'rbf', 'clf__max_iter': -1, 'clf__random_state': 503, 'clf__shrinking': True, 'clf__tol': 0.008744732545915634, 'clf__verbose': False, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 93, 'selector__n_jobs': -1, 'selector__oob_score': False, 'selector__random_state': 236, 'selector__verbose': False}, 1: {'clf__C': 0.00014318155811143593, 'clf__cache_size': 500, 'clf__class_weight': 'balanced', 'clf__coef0': 0.0, 'clf__gamma': 0.0015946267105353758, 'clf__kernel': 'rbf', 'clf__max_iter': -1, 'clf__random_state': 526, 'clf__shrinking': True, 'clf__tol': 5.331777011731634e-05, 'clf__verbose': False, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': 4, 'selector__max_features': None, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 1414, 'selector__n_jobs': -1, 'selector__oob_score': False, 'selector__random_state': 107, 'selector__verbose': False}, 2: {'clf__C': 0.005899387449557289, 'clf__cache_size': 500, 'clf__class_weight': 'balanced', 'clf__coef0': 0.0, 'clf__gamma': 2.7096055179331862e-06, 'clf__kernel': 'rbf', 'clf__max_iter': -1, 'clf__random_state': 86, 'clf__shrinking': True, 'clf__tol': 3.674539059074307e-05, 'clf__verbose': False, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.7727247346328644, 'selector__min_samples_leaf': 37, 'selector__min_samples_split': 2, 'selector__n_estimators': 126, 'selector__n_jobs': -1, 'selector__oob_score': False, 'selector__random_state': 301, 'selector__verbose': False}, 3: {'clf__C': 0.4555422039723497, 'clf__cache_size': 500, 'clf__class_weight': 'balanced', 'clf__coef0': 0.0, 'clf__gamma': 8.319521298500281e-05, 'clf__kernel': 'rbf', 'clf__max_iter': -1, 'clf__random_state': 853, 'clf__shrinking': False, 'clf__tol': 0.0027909568314705706, 'clf__verbose': False, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.34212702531355066, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 115, 'selector__n_jobs': -1, 'selector__oob_score': False, 'selector__random_state': 900, 'selector__verbose': False}}"
1,1,0.6287177839143008,0.0572851261375617,0.598989898989899,"(0.5790273556231003, 0.7384992458521871)","{0: 0.44897959183673475, 1: 0.35, 2: 0.4693877551020408, 3: 0.36734693877551017}","{0: 0.43999999999999995, 1: 0.31818181818181823, 2: 0.41500000000000004, 3: 0.31499999999999995}","{0: 0.003480503493914573, 1: 0.00025212642880281534, 2: 0.002011421167106292, 3: 0.0037630154102457265}","{0: 0.0016556949971091364, 1: 0.00016181398723486267, 2: 0.007398558537110728, 3: 0.00308923635910168}","{'clf__C': 44624.525245550605, 'clf__gamma': 0.0026105577626440377, 'clf__random_state': 433, 'clf__shrinking': 1, 'clf__tol': 0.00027344484018835185, 'selector__bootstrap': 0, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 2, 'selector__min_samples_leaf': 1, 'selector__min_samples_leaf.gt1': 6.0, 'selector__n_estimators': 147.0, 'selector__random_state': 735}","{0: {'clf__C': 0.6457932889098997, 'clf__coef0': 0.0, 'clf__gamma': 2.6756996448088205e-05, 'clf__kernel': 'rbf', 'clf__random_state': 74, 'clf__shrinking': False, 'clf__tol': 1.8694359831741963e-05, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 2269, 'selector__random_state': 132}, 1: {'clf__C': 44624.525245550605, 'clf__coef0': 0.0, 'clf__gamma': 8.701859208813458e-05, 'clf__kernel': 'rbf', 'clf__random_state': 433, 'clf__shrinking': True, 'clf__tol': 0.00027344484018835185, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': None, 'selector__min_samples_leaf': 6, 'selector__min_samples_split': 2, 'selector__n_estimators': 147, 'selector__random_state': 735}, 2: {'clf__C': 0.00017221696639168802, 'clf__coef0': 0.0, 'clf__gamma': 0.00018689064209053793, 'clf__kernel': 'rbf', 'clf__random_state': 107, 'clf__shrinking': True, 'clf__tol': 0.006945433877269369, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.0439290832716116, 'selector__min_samples_leaf': 2, 'selector__min_samples_split': 2, 'selector__n_estimators': 209, 'selector__random_state': 734}, 3: {'clf__C': 3.819128576333928e-05, 'clf__coef0': 0.0, 'clf__gamma': 0.004182169334570971, 'clf__kernel': 'rbf', 'clf__random_state': 307, 'clf__shrinking': False, 'clf__tol': 0.00016836481727100394, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.6868599301873679, 'selector__min_samples_leaf': 22, 'selector__min_samples_split': 2, 'selector__n_estimators': 720, 'selector__random_state': 898}}"
2,0,0.8743596554948214,0.021275758094284128,0.8804271708683472,"(0.832908163265306, 0.8926010430247718)","{0: 0.42999999999999994, 1: 0.11224489795918358, 2: 0.28, 3: 0.36}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.3282828282828283}","{0: 0.0011971215697163219, 1: 0.0013834328289138824, 2: 0.0011278911564625855, 3: 0.0014385487528344664}","{0: 0.028574181772834967, 1: 0.0, 2: 0.0, 3: 0.0006777086238365693}","{'clf__C': 29.295398547466416, 'clf__gamma': 0.1816089556740832, 'clf__random_state': 988, 'clf__shrinking': 1, 'clf__tol': 0.0003916449174261763}","{0: {'clf__C': 0.0009035747819846421, 'clf__coef0': 0.0, 'clf__gamma': 0.9103613150997474, 'clf__kernel': 'rbf', 'clf__random_state': 32, 'clf__shrinking': False, 'clf__tol': 0.0002871719181692575}, 1: {'clf__C': 29.295398547466416, 'clf__coef0': 0.0, 'clf__gamma': 0.0060536318558027736, 'clf__kernel': 'rbf', 'clf__random_state': 988, 'clf__shrinking': True, 'clf__tol': 0.0003916449174261763}, 2: {'clf__C': 9.849629436057668, 'clf__coef0': 0.0, 'clf__gamma': 0.31360843309864134, 'clf__kernel': 'rbf', 'clf__random_state': 69, 'clf__shrinking': False, 'clf__tol': 5.958198748137258e-05}, 3: {'clf__C': 0.0008215924124914868, 'clf__coef0': 0.0, 'clf__gamma': 0.0001257355788649623, 'clf__kernel': 'rbf', 'clf__random_state': 272, 'clf__shrinking': True, 'clf__tol': 0.0003855451340007003}}"
3,1,0.6661776508000178,0.023755424141512573,0.66,"(0.6327041602465332, 0.7058823529411764)","{0: 0.4591836734693877, 1: 0.35, 2: 0.3500000000000001, 3: 0.32999999999999996}","{0: 0.0, 1: 0.36363636363636365, 2: 0.36363636363636376, 3: 0.18686868686868685}","{0: 0.0006817807395066855, 1: 0.002425850340136054, 2: 0.0020956916099773228, 3: 0.0016101901985283897}","{0: 0.0, 1: 0.00033674341620469557, 2: 0.0004289108821095345, 3: 0.0011634391048532474}","{'clf__C': 0.006327113450513198, 'clf__gamma': 1.3870307222818212, 'clf__random_state': 737, 'clf__shrinking': 1, 'clf__tol': 0.0030988248973241508}","{0: {'clf__C': 0.067937870536508, 'clf__coef0': 0.0, 'clf__gamma': 0.5507037187628762, 'clf__kernel': 'rbf', 'clf__random_state': 266, 'clf__shrinking': False, 'clf__tol': 5.231809019230796e-05}, 1: {'clf__C': 0.0002860447320467618, 'clf__coef0': 0.0, 'clf__gamma': 0.00020281905160876945, 'clf__kernel': 'rbf', 'clf__random_state': 193, 'clf__shrinking': True, 'clf__tol': 0.00128213860620624}, 2: {'clf__C': 0.22271530457812172, 'clf__coef0': 0.0, 'clf__gamma': 1.6681124769706114e-06, 'clf__kernel': 'rbf', 'clf__random_state': 681, 'clf__shrinking': True, 'clf__tol': 0.0011237567661049235}, 3: {'clf__C': 0.006327113450513198, 'clf__coef0': 0.0, 'clf__gamma': 0.04623435740939404, 'clf__kernel': 'rbf', 'clf__random_state': 737, 'clf__shrinking': True, 'clf__tol': 0.0030988248973241508}}"
4,0,0.808745507474321,0.012161908885540272,0.8035714285714285,"(0.7983193277310925, 0.8306100217864923)","{0: 0.16000000000000003, 1: 0.35, 2: 0.3400000000000001, 3: 0.36734693877551017}","{0: 0.010000000000000009, 1: 0.297979797979798, 2: 0.3282828282828283, 3: 0.16161616161616155}","{0: 0.0017922902494331074, 1: 0.002896024804479614, 2: 0.002696024804479617, 3: 0.0011335369521958494}","{0: 5.557256062306826e-06, 1: 0.0014653470734278821, 2: 0.00014312371753449262, 3: 0.0010577293700189362}","{'clf__C': 18863.55309880673, 'clf__gamma': 0.0022119633911854074, 'clf__random_state': 935, 'clf__shrinking': 1, 'clf__tol': 7.465142377481655e-05, 'selector__num_features': 0, 'selector__num_neighbors': 159847.0}","{0: {'clf__C': 18863.55309880673, 'clf__coef0': 0.0, 'clf__gamma': 7.373211303951357e-05, 'clf__kernel': 'rbf', 'clf__random_state': 935, 'clf__shrinking': True, 'clf__tol': 7.465142377481655e-05, 'selector__num_features': 0, 'selector__num_neighbors': 159847.0}, 1: {'clf__C': 337.3190477649155, 'clf__coef0': 0.0, 'clf__gamma': 1.4399946248005626e-06, 'clf__kernel': 'rbf', 'clf__random_state': 728, 'clf__shrinking': True, 'clf__tol': 4.018788313836591e-05, 'selector__num_features': 0, 'selector__num_neighbors': 162364.0}, 2: {'clf__C': 72047.92868545426, 'clf__coef0': 0.0, 'clf__gamma': 3.603407693716045e-05, 'clf__kernel': 'rbf', 'clf__random_state': 459, 'clf__shrinking': True, 'clf__tol': 3.725948731907409e-05, 'selector__num_features': 7, 'selector__num_neighbors': 26820.0}, 3: {'clf__C': 1.7775944796784775e-05, 'clf__coef0': 0.0, 'clf__gamma': 0.736405192694784, 'clf__kernel': 'rbf', 'clf__random_state': 547, 'clf__shrinking': False, 'clf__tol': 0.00433179575254907, 'selector__num_features': 8, 'selector__num_neighbors': 11002.0}}"
5,1,0.5528444731131352,0.020517995684420903,0.55,"(0.5333333333333333, 0.5905775075987842)","{0: 0.44000000000000006, 1: 0.4693877551020408, 2: 0.47, 3: 0.4693877551020408}","{0: 0.36363636363636365, 1: 0.38383838383838387, 2: 0.41414141414141414, 3: 0.38383838383838387}","{0: 0.0008087000786709254, 1: 0.0008209449766301038, 2: 0.0016952473506409323, 3: 0.0008209449766301038}","{0: 0.00022365971726241103, 1: 0.0002086663492387393, 2: 0.0006929995805416674, 3: 0.0001953746216372485}","{'clf__C': 0.05006341976884374, 'clf__gamma': 0.6184824141439559, 'clf__random_state': 300, 'clf__shrinking': 0, 'clf__tol': 5.030981256720323e-05, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}","{0: {'clf__C': 0.05006341976884374, 'clf__coef0': 0.0, 'clf__gamma': 0.020616080471465195, 'clf__kernel': 'rbf', 'clf__random_state': 300, 'clf__shrinking': False, 'clf__tol': 5.030981256720323e-05, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}, 1: {'clf__C': 0.0014716871434009115, 'clf__coef0': 0.0, 'clf__gamma': 0.0038412849854888133, 'clf__kernel': 'rbf', 'clf__random_state': 878, 'clf__shrinking': True, 'clf__tol': 9.228627725999573e-05, 'selector__num_features': 5, 'selector__num_neighbors': 15703.0}, 2: {'clf__C': 64206.9630206105, 'clf__coef0': 0.0, 'clf__gamma': 2.6023054243429337e-05, 'clf__kernel': 'rbf', 'clf__random_state': 249, 'clf__shrinking': True, 'clf__tol': 0.0019430596481639772, 'selector__num_features': 2, 'selector__num_neighbors': 7158.0}, 3: {'clf__C': 69.8579382854098, 'clf__coef0': 0.0, 'clf__gamma': 5.619275941792785e-05, 'clf__kernel': 'rbf', 'clf__random_state': 356, 'clf__shrinking': False, 'clf__tol': 6.683103976795142e-05, 'selector__num_features': 5, 'selector__num_neighbors': 10299.0}}"
6,0,0.6045908186539862,0.0344139508529638,0.5970388155262105,"(0.555672268907563, 0.6535202086049544)","{0: 0.3999999999999999, 1: 0.48, 2: 0.49, 3: 0.3877551020408164}","{0: 0.2929292929292928, 1: 0.4700000000000001, 2: 0.4650000000000001, 3: 0.3282828282828283}","{0: 0.001452876116432968, 1: 0.000422222222222223, 2: 0.00020547919848211437, 3: 0.0002800314683696616}","{0: 0.0016793660510832267, 1: 0.0003815007538913262, 2: 0.00013975274631840176, 3: 0.0009608004852112604}","{'clf__C': 50380.86110162918, 'clf__gamma': 0.018455350023471363, 'clf__random_state': 112, 'clf__shrinking': 1, 'clf__tol': 1.2880546150944655e-05, 'selector__k': 6.0, 'selector__num_features': 4}","{0: {'clf__C': 63947.23501959493, 'clf__coef0': 0.0, 'clf__gamma': 0.0035174467501028345, 'clf__kernel': 'rbf', 'clf__random_state': 41, 'clf__shrinking': False, 'clf__tol': 0.009051658320936413, 'selector__k': 9, 'selector__num_features': 3}, 1: {'clf__C': 337.3190477649155, 'clf__coef0': 0.0, 'clf__gamma': 1.4399946248005626e-06, 'clf__kernel': 'rbf', 'clf__random_state': 728, 'clf__shrinking': True, 'clf__tol': 4.018788313836591e-05, 'selector__k': 8, 'selector__num_features': 3}, 2: {'clf__C': 0.0004244484521476261, 'clf__coef0': 0.0, 'clf__gamma': 4.177370801119848e-05, 'clf__kernel': 'rbf', 'clf__random_state': 709, 'clf__shrinking': False, 'clf__tol': 0.005312697900208308, 'selector__k': 12, 'selector__num_features': 3}, 3: {'clf__C': 50380.86110162918, 'clf__coef0': 0.0, 'clf__gamma': 0.0006151783341157121, 'clf__kernel': 'rbf', 'clf__random_state': 112, 'clf__shrinking': True, 'clf__tol': 1.2880546150944655e-05, 'selector__k': 6, 'selector__num_features': 4}}"
7,1,0.6340562956814839,0.053337297320569646,0.6342449922958397,"(0.56, 0.7194570135746606)","{0: 0.36, 1: 0.3400000000000001, 2: 0.41836734693877553, 3: 0.4897959183673469}","{0: 0.3232323232323232, 1: 0.30808080808080807, 2: 0.36, 3: 0.4747474747474747}","{0: 0.0032293581378129484, 1: 6.530612244897904e-05, 2: 0.004023721597482526, 3: 0.0004653153778518218}","{0: 0.00016216939314582567, 1: 9.27343014885097e-05, 2: 0.011390211883141182, 3: 0.00026830822251697764}","{'clf__C': 7749.149680983517, 'clf__gamma': 0.03033413307548762, 'clf__random_state': 163, 'clf__shrinking': 0, 'clf__tol': 0.00013510630867871886, 'selector__k': 3.0, 'selector__num_features': 4}","{0: {'clf__C': 130.04121453013252, 'clf__coef0': 0.0, 'clf__gamma': 0.0116311308476812, 'clf__kernel': 'rbf', 'clf__random_state': 249, 'clf__shrinking': False, 'clf__tol': 0.008272560126781237, 'selector__k': 12, 'selector__num_features': 4}, 1: {'clf__C': 7749.149680983517, 'clf__coef0': 0.0, 'clf__gamma': 0.0010111377691829205, 'clf__kernel': 'rbf', 'clf__random_state': 163, 'clf__shrinking': False, 'clf__tol': 0.00013510630867871886, 'selector__k': 3, 'selector__num_features': 4}, 2: {'clf__C': 2.749734943636558e-05, 'clf__coef0': 0.0, 'clf__gamma': 0.03344912788182977, 'clf__kernel': 'rbf', 'clf__random_state': 340, 'clf__shrinking': True, 'clf__tol': 0.00020152318508322045, 'selector__k': 2, 'selector__num_features': 9}, 3: {'clf__C': 0.005622473191182968, 'clf__coef0': 0.0, 'clf__gamma': 0.0003774459793224259, 'clf__kernel': 'rbf', 'clf__random_state': 814, 'clf__shrinking': False, 'clf__tol': 1.0215934822362304e-05, 'selector__k': 10, 'selector__num_features': 2}}"
8,0,0.7520335325206425,0.03731823342536873,0.7556022408963585,"(0.7040816326530612, 0.8099128540305011)","{0: 0.30000000000000004, 1: 0.22999999999999998, 2: 0.20999999999999996, 3: 0.27}","{0: 0.22222222222222232, 1: 0.0, 2: 0.0, 3: 0.015151515151515138}","{0: 0.00670904715627748, 1: 0.00021802952473506671, 2: 0.002111185154333841, 3: 0.009421528067009122}","{0: 0.00030735015701345564, 1: 0.0, 2: 0.0, 3: 0.0037468064483216074}","{'clf__bootstrap': 1, 'clf__criterion': 0, 'clf__max_depth': 0, 'clf__max_features': 2, 'clf__min_samples_leaf': 0, 'clf__n_estimators': 46.0, 'clf__random_state': 912, 'selector__bootstrap': 0, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 3, 'selector__max_features.frac': 0.7727247346328644, 'selector__min_samples_leaf': 1, 'selector__min_samples_leaf.gt1': 37.0, 'selector__n_estimators': 126.0, 'selector__random_state': 301}","{0: {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 18, 'clf__min_samples_split': 2, 'clf__n_estimators': 1978, 'clf__random_state': 751, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 93, 'selector__random_state': 236}, 1: {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__max_features': 0.9071947163471131, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 972, 'clf__random_state': 693, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': 4, 'selector__max_features': None, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 1414, 'selector__random_state': 107}, 2: {'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__max_features': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 46, 'clf__random_state': 912, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.7727247346328644, 'selector__min_samples_leaf': 37, 'selector__min_samples_split': 2, 'selector__n_estimators': 126, 'selector__random_state': 301}, 3: {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__max_features': 0.6780456764169303, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 54, 'clf__random_state': 709, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.34212702531355066, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 115, 'selector__random_state': 900}}"
